players_id,player_known_name
33986,Ngani Laumape
34631,Hiroaki Ushihara
34938,Seokhwan Jang
34942,Shintaro Hayashi
35787,Suguru Igarashi
36313,Kosuke Naka
36594,Takara Imamura
38245,Jiwon Gu
39977,Amanaki Saumaki
42787,Waisake Raratabu
44439,Shinsuke Iseki
45347,Taihei Kusaka
47304,Kenta Tokuda
47674,Willie Potgieter
47757,Shigure Takao
901616,Seungsin Lee
901669,Haruto Takahashi
901670,Kenta Matsuoka
901672,Gentaro Ikenaga
901673,Junta Hamano
904628,Ikuma Yamada
905687,Sho Maeda
908730,Kanta Matsunaga
908731,Quinton Mahina
908732,Rinpei Sakaki
908733,Sione Tapu'osi
909610,Tiennan Costley
912071,Hayato Fukunishi
912072,Maki Shimizu
912073,Soma Sugimoto
912243,Tali Ioasa
912367,Daisuke Ito
912565,Hikaru Moriwaki
912786,Ryota Funabiki
398,Pablo Matera
1359,Clynton Knox
1944,Li Tevita
2112,Heiden Bedwell-Curtis
2512,Matthys Basson
3230,Franco Mostert
3745,Justin Downey
5523,Yoshikazu Fujita
6188,Tateo Kanai
6363,Naoki Motomura
6458,Issei Shige
6680,Tom Banks
7890,Mitch Hunt
11955,Kenta Yamaji
11964,Yoji Akiyama
21132,Ryota Kobayashi
25035,Hibino Masahiro
33344,SongGi Pak
33574,Tetuhi Roberts
34858,Soki Watanabe
35050,Kosuke Hattori
35214,Hisayoshi Ito
35522,Sosiceni Tokoqio
38661,Dawid Kellerman
41378,Masaki Kondo
42777,Waimana Riedlinger-Kapa
44149,Takumi Fujii
44922,Ryo Furuta
44923,Hayato Akahira
44924,Kanta Watanabe
45482,Viliami Vuli
47273,Tatsuhiko Tsurukawa
47274,Taiki Yoshioka
47275,Shogo Nezuka
47313,Gun Tajima
47709,Gwante O
47753,Akihito Doi
901602,Viliami Kaipouli
901604,Takuya Obata
901605,Kengo Gunji
901678,Atsuro Tsuji
901684,Yuta Matsuura
904730,Shun Hizume
904734,Seunghyok Lee
904736,Hiroaki Shirahama
904739,Yuzo Yamamoto
904752,Azuma Dei
904755,Taichi Takenaka
904785,Haruhiko Uemura
908849,Kotaro Kouno
908850,Kaito Kawai
908851,Katsuyuki Hoshino
908852,Kanato Hirano
908853,Fraser Quirk
912088,Koki Hida
912089,Kei Touma
912090,Yuto Yohena
912091,Wihongi Connor
912828,Kenta Hirai
912829,Yu Kasakake
912830,Takuro Hojo
912831,Koki Miyasaka
912832,Kyogo Okano
1925,Michael Collins
1970,Richie Mo'unga
1976,Rob Thompson
2161,Seta Tamanivalu
4720,Masataka Mikami
4726,Michael Leitch
6121,Kyosuke Kajikawa
6127,Shohei Toyoshima
6130,Futoshi Mori
6133,Songchang Lee
6134,Takahiro Ogawa
6135,Taiki Matsunobu
6353,Daigo Hashimoto
6360,Hiroki Yamamoto
6422,Takahiro Fujita
7875,Yuma Fujino
21298,Yoshitaka Tokunaga
35276,Samuela Anise
35438,Shannon Frizell
35518,Hisayoshi Matsuoka
36312,Hayata Nakao
37660,Jacob Pierce
38293,PJ Steenkamp
43134,Yuto Mori
43885,Jone Naikabula
45340,Gwante Kim
47010,Teruo Makabe
47011,Kohei Takahashi
47013,Masaki Hamada
47014,Toshiki Kuwayama
47605,Stephan Du Toit
901578,Rikyu Yamakawa
901649,Atsuki Kuwayama
901656,Ren Miyagami
901660,Shohei Ito
901663,Taichi Mano
901668,Yuhei Sugiyama
901886,Takeshi Sasaki
901976,Takuro Matsunaga
904341,Warner Dearns
904616,Nik McCurran
904617,Yuta Kokaji
904677,Motoki Tanaka
905705,Mamoru Harada
